id;millesime;num_site;name;name_impression;description;animations;condition_acces;unesco;monument_historique;musee_national;parcours;adresse;logo;tarifs;www;accessibilite;info_mail;info_tel;resa_mail;resa_tel;meta_datcreat;meta_datmaj;meta_datsupp;meta_insee;meta_siren;meta_source;meta_licence;meta_observations;meta_genealogie;meta_mairie_quartier;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
268;2021;6;« Avignon, eau vivante, eau cachée »  un parcours dans la ville;;"Cette promenade urbaine, en partenariat avec les musées et les archives d’Avignon, vous invite à découvrir la ville à travers le prisme de l’eau.
Vous déambulerez dans les rues à la recherche d’indices toponymiques et visuels.
Ce parcours sera ponctué de présentation d’œuvres d’art appartenant aux différents musées, grâce à des QR Code.
Laissez-vous porter au fil de l’eau !";Le topoguide du parcours sera disponible à l'Office de Tourisme d'Avignon et en téléchargement;libre;;;;Se cultiver;8 rue Frédéric Mistral, en bas des locaux de l’association Volubilis;;gratuit;https://www.volubilis.org/les-parcours-urbains/;;;;;;20210723114506;20210824162233;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844991.9165284354;6317958.302409728;4.806176722325766;43.94570285629341;43.94570285629341;4.806176722325766
267;2021;1;Eco-Logis;;"Un appartement témoin pour découvrir les gestes et produits éco-responsables

inscription à partir du 1er août";Un temps fort autour du développement durable et de l'habitat avec des conférences et des ateliers pour petits et grands;Du 6 septembre au 2 octobre;;;;Consommer;MAIF, Espace Etoile, 139 avenue Pierre Semard;../media/photos/logos/logo-MAIF.png;Gratuit;maif-evenements.fr/programmation-84;;;;;;20210723091912;20210824162233;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;847448.1478388326;6316426.476703985;4.836319579317059;43.93141092212603;43.93141092212603;4.836319579317059
266;2021;5;Exposition "La nature, la nuit";;Dans cette exposition, on trouve des présentations d’animaux naturalisés, pour apprendre à les reconnaître, ainsi que des plantes. Les explications sur leur mode de vie et sur l’impact des activités humaines sur ces espèces permettront de mieux vivre ensemble, dans une vision plus durable;;Du samedi 18 septembre 2021 au 5 mars 2022, Ouvert du mardi au samedi, de 10h à 13h et de 14h à 18h;;;;Se cultiver;Muséum Requien – 67 rue Joseph Vernet;../media/photos/logos/avignonmusee.png;Entrée gratuite pour toutes et tous;;;museum.requien@mairie-avignon.com ;04.13.60.51.20;;;20210723091547;20210825100748;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844771.0078223475;6318060.186795975;4.803454783575608;43.946664975508746;43.946664975508746;4.803454783575608
270;2021;2;Les ateliers participatifs du Plan Climat Local;;Ateliers participatifs d’élaboration du plan climat local ouverts au public;Accroches vélos à disposition;Du 7 au 21 septembre, de 18h à 20h;;;;Tous les axes;CVL Barthelasse, 8 chemin de la Barthelasse;../media/photos/logos/logo pcl.png;gratuit sur inscription;https://jeparticipe.avignon.fr/;Non;;;;;20210723151054;20210729100308;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844404.3289765464;6318983.336173277;4.799150519979533;43.9550461101122;43.9550461101122;4.799150519979533
274;2021;9;Conférence gesticulée « Tout sur ma mer »;;Révoltée par l’invasion du plastique en Méditerranée, Anaëlle décide de transformer son indignation en action positive. Elle parcourt 1000km en kayak et à vélo en solitaire sur le littoral méditerranéen en organisant des ramassages de déchets tout au long de son parcours. Dans ce « seule en scène », Anaëlle restitue son aventure avec poésie et humour pour sensibiliser à la protection de l’environnement;"Tout public - sur inscription 
durée 1 heure";Dimanche 19 septembre, 15h;;;;Consommer;Dans le cadre des 1000 pagaies, base de loisirs de la Barthelasse, entrée par l'allée Antoine Pinay - Ile de la Barthelasse ;../media/photos/logos/azur.jpg;gratuit ;www.projetazur.com;;;;;;20210728162051;20210818144805;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844503.9831400675;6318770.482527936;4.800331238849144;43.953110555652586;43.953110555652586;4.800331238849144
279;2021;14;10 km de la cité des papes;;Le Club Athletic Sport Avignonnais (CASA) met en place depuis maintenant plusieurs années une matinée de course hors stade avec comme point d’orgue le 10km de la cité des papes. Cette manifestation se tiendra avec une course enfant, une course de 4.5km et une de 10km;Renseignements, Inscription et horaires sur le site ;Dimanche 26 septembre;;;;Se bouger;Ile de la Bartelasse allée Antoine Pinay, centre aéré;;;http://www.casavignon.net/cite-des-papes;;;;;;20210728165137;20210824100711;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844516.4101149198;6318817.745937138;4.800499433490801;43.953533250139884;43.953533250139884;4.800499433490801
273;2021;8;1000 Pagaies;;"Le Jeune Canoë Kayak Avignonnais organise en collaboration avec le Service des Sports de la Ville d'Avignon et le Comité Départemental de Canoë Kayak de Vaucluse, pour la 21ème année consécutive, la manifestation des « 1000 Pagaies ».
Il s’agit d’une journée de promotion du canoë-kayak ouverte à tout public dans un esprit convivial et familial, au fil de l’eau, le long du Rhône avec comme décor le Palais des Papes, les remparts et le Pont St Bénezet";Accès : vélo, navette fluviale, transport en commun ou à pied (appuis vélo à disposition);Dimanche 19 septembre, de 13h30 à 18h ;;;;Se bouger;Allée Antoine  Pinay - Ile de la Barthelasse ;../media/photos/logos/logo_JCKA.png;La manifestation est totalement gratuite et sans réservation;;;;;;;20210728161220;20210824162233;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844473.8121130575;6318726.8283073;4.7999430819664735;43.95272397408648;43.95272397408648;4.7999430819664735
283;2021;19;Journée Accueil des Etudiants (JAE);;"Hôtel de ville 9h30-11h30
Rocher des doms 12h-1h
Palais des papes 18h-22h	
";Voir programme joint;Jeudi 30 septembre;;;;Bien vivre;Hôtel de ville 9h30-11h30 Rocher des doms 12h-1h Palais des papes 18h-22h;;Entrée libre sauf Atypik Festival sur inscription;;;;;;;20210728170335;20210824162233;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;844930.2826814015;6318353.778819557;4.805521839065547;43.94927375290647;43.94927375290647;4.805521839065547
277;2021;12;à la découverte des abeilles citadines au rocher des Doms;;"L’association Car elles butinent vous invite à découvrir le monde des abeilles, de très...très près. Équipé, d’une
combinaison, et d’une paire de gants, ouvrez une ruche accompagnée d’un apiculteur.";"En famille ou entre amis
Atelier de 30 min accessible à partir de 4 ans et par groupes de 7 personnes maximum
Pour être sûr d’avoir une place, réservation par mail";Les mercredis 22 et 29 septembre, ainsi que le mercredi 6 octobre, de 14h à 17h;;;;Se nourrir;Jardin du rocher des Doms;../media/photos/logos/logo-carellebutinent-01.jpg;Gratuit !;www.carellesbutinent.org;;;;lise@carellesbutinent.org;;20210728163429;20210818144953;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;845110.5093656196;6318725.494804636;4.807872299595068;43.95258108358237;43.95258108358237;4.807872299595068
278;2021;13;Expédition dans une forêt « sauvage » aux portes d’Avignon;;Vous n’y croyez pas ? Et bien suivez-nous sur la piste des castors, pics épeiches, chauves-souris… abrités dans l’une des dernières forêts alluviales du Rhône aval;"Inscription obligatoire, lieu et horaire par téléphone à CEN PACA 
Attention : Inscriptions limitées en raison de la configuration du site et de son statut de protection
Durée : 3h";Vendredi 24 septembre, 13h30;;;;Se cultiver; Islon de la Barthelasse;../media/photos/logos/LOGO-CENPACA_JPEG.jpg;;https://cen-paca.org/participer/agenda/evenement/expedition-dans-une-foret-sauvage-aux-portes-davignon/;;;;;04.42.20.03.83;20210728164919;20210818145008;;84007;218400075;Mairie Avignon / Modernisation;LO;;;;manuelle;1;;t;84007-semaineDeveloppementDurable2021;845600.8722196384;6322315.147165828;4.815007167878541;43.98477731037256;43.98477731037256;4.815007167878541
